keyword,page,text,exhibit,provider,exhibit_page
disability,19,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__,3A-5,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 5 of 18)
disability,20,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__,3A-6,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 6 of 18)
disability,21,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__,3A-7,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 7 of 18)
mri,22,"2/26/20, still having back pain from recent fall; referred for mri -catawba valley psychiatric services 10/7/19, psych med refills of",3A-8,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 8 of 18)
gait,22,person. still with back pain that travels down into rle-normal gait and station 5'4” at 150 pounds we did review,3A-8,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 8 of 18)
mild,22,lumbar spine without and with contrast dated 6/1/2020: multilevel predominantly mild degenerative changes does results in neural foramina’ stenosis l4-5,3A-8,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 8 of 18)
surgery,22,ankle a couple of years ago and had to have surgery on it. so it is hard to walk or,3A-8,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 8 of 18)
stand,22,surgery on it. so it is hard to walk or stand for very long time. my last back surgery was,3A-8,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 8 of 18)
walk,22,to have surgery on it. so it is hard to walk or stand for very long time. my last back,3A-8,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 8 of 18)
pain,22,on top of that i got mrsa. i have chronic pain all the time. it's hard for me to get,3A-8,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 8 of 18)
fracture,22,in legs and feet; chronic headaches; depression; asthma/allergies; chronic compression fracture thoracic spine recon: still in treatment for all conditions,3A-8,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 8 of 18)
ambulate,22,"exam, she is able to stand on her own and ambulate but she does so with no evidence of ataxia",3A-8,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 8 of 18)
disability,22,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__reconsideration,3A-8,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 8 of 18)
mri,23,down to the foot. most recently she has had an mri study of the lumbar spine performed. foraminal stenosis was,3A-9,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 9 of 18)
severe,23,impairments? yes impairment priority severity 7240 - spine disorders primary severe 3000 - anxiety and obsessive-compulsive secondary non severe disorders,3A-9,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 9 of 18)
pain,23,for follow-up. she has had a long history of back pain that radiates into the right lower extremity below the,3A-9,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 9 of 18)
disability,23,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__back,3A-9,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 9 of 18)
mild,24,"disorders understand, remember, or apply information: none interact with others: mild concentrate, persist, or maintain pace: mild adapt or manage",3A-10,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 10 of 18)
disability,24,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__a,3A-10,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 10 of 18)
pain,25,assessment of policy issues symptoms evaluation list the claimant's symptoms: pain can one or more of the individual's medically determinable,3A-11,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 11 of 18)
disability,25,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__jennifer,3A-11,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 11 of 18)
symptoms,25,necessary (physical and/or mental)   assessment of policy issues symptoms evaluation list the claimant's symptoms: pain can one or,3A-11,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 11 of 18)
disability,26,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__what,3A-12,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 12 of 18)
symptoms,26,your assessment of the consistency of the individual's statements regarding symptoms considering the total medical and non-medical evidence in file?,3A-12,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 12 of 18)
walk,27,determination explanation - dde dec. dt.: 01/19/2021__back to top__stand and/or walk (with normal breaks) for a total of: about 6,3A-13,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 13 of 18)
disability,27,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__stand,3A-13,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 13 of 18)
extreme,28,individual have environmental limitations? yes rate the individual's environmental limitations: extreme cold: unlimited extreme heat: unlimited wetness: unlimited humidity: unlimited,3A-14,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 14 of 18)
disability,28,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__does,3A-14,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 14 of 18)
mri,29,and station 5'4” at 150 pounds we did review the mri of the lumbar spine without and with contrast dated,3A-15,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 15 of 18)
gait,29,(emergeortho) still with back pain that travels down into rle-normal gait and station 5'4” at 150 pounds we did review,3A-15,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 15 of 18)
mild,29,lumbar spine without and with contrast dated 6/1/2020: multilevel predominantly mild degenerative changes does results in neural foramina’ stenosis l4-5,3A-15,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 15 of 18)
stand,29,"@ recon 5/22/2020 (emergeortho) on exam, she is able to stand on her own and ambulate but she does so",3A-15,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 15 of 18)
pain,29,"neurosurgery and spine on 2/10/20, seen for left lower extremity pain due to fall; ct shows old t11 fracture; pe",3A-15,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 15 of 18)
fracture,29,explanation - dde dec. dt.: 01/19/2021__back to top__and chronic compression fracture of the thoracic spine. seen at pedmont plastic surgery&dermatology,3A-15,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 15 of 18)
ambulate,29,"exam, she is able to stand on her own and ambulate but she does so with no evidence of ataxia",3A-15,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 15 of 18)
disability,29,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__and,3A-15,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 15 of 18)
disability,30,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__,3A-16,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 16 of 18)
disability,31,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__application,3A-17,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 17 of 18)
strength,31,"work because of the impairments? no based on the seven strength factors of the physical rfc (lifting/carrying, standing, walking, sitting,",3A-17,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 17 of 18)
disability,32,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__is,3A-18,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 18 of 18)
disability,33,disability determination transmittal - 831 dec. dt.: 01/19/2021__back to top__social,4A-1,4A: Disability Determination Transmittal - 831 Dec. Dt.: 01/19/2021 (1 pages),(page 1 of 1)
disabled,33,"the social security act, as amended   15. claimant disabled 18a. primary diagnosis   disability a. [| began",4A-1,4A: Disability Determination Transmittal - 831 Dec. Dt.: 01/19/2021 (1 pages),(page 1 of 1)
limit,35,"25% of all past-due benefits, or no more than the limit set by 42 u.s.c. § 406(a\(2xa), if the limit",2B-1,2B: Fee Agreement for Representation before SSA - FEEAGRMT Doc. Dt.: 01/30/2020 (1 pages),(page 1 of 1)
disability,35,agreement social security disability/ssl representative fees: | employ above board disability advocates to represent me before the social security administration,2B-1,2B: Fee Agreement for Representation before SSA - FEEAGRMT Doc. Dt.: 01/30/2020 (1 pages),(page 1 of 1)
severe,36,have determined that the condition is not expected to remain severe enough for 12 months in a row to be,3B-1,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 1 of 9)
surgery,36,allergy & asthma clinic - report received 05/06/2020 piedmont plastic surgery & dermatology - report received 05/06/2020 we have determined,3B-1,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 1 of 9)
fracture,36,"legs and feet, chronic headaches, depression, asthma, allergies, chronic compression fracture of the thoracic spine, broken ankle, broken tailbone, tumors,",3B-1,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 1 of 9)
disability,36,blind under our rules. we have enclosed information about the disability and blindness rules and more details about the decision,3B-1,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 1 of 9)
disabled,36,payments on this claim. this is because you are not disabled or blind under our rules. we have enclosed information,3B-1,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 1 of 9)
disability,37,"our rules. please remember that there are many types of disability programs, both government and private, which use different rules.",3B-2,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 2 of 9)
disabled,37,for ssi payments based on disability: for payment as a disabled adult: if you are age 18 or older your,3B-2,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 2 of 9)
disability,39," social security administration cc: william f neal above board disability ad   3708765 /07/e098/9444/autoelsp ssa-l444 (1/94) axxk-kxka-2186 lail,",3B-4,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 4 of 9)
disability,40,l444 doc. dt.: 06/12/2020__back to top__william f neal above board disability ad 790 windy ridge road otto nc 28763-9310 3708765,3B-5,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 5 of 9)
severe,41,have determined that the condition is not expected to remain severe enough for 12 months in a row to be,3B-6,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 6 of 9)
surgery,41,allergy & asthma clinic - report received 05/06/2020 piedmont plastic surgery & dermatology - report received 05/06/2020 we have determined,3B-6,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 6 of 9)
fracture,41,"legs and feet, chronic headaches, depression, asthma, allergies, chronic compression fracture of the thoracic spine, broken ankle, broken tailbone, tumors,",3B-6,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 6 of 9)
disability,41,blind under our rules. we have enclosed information about the disability and blindness rules and more details about the decision,3B-6,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 6 of 9)
disabled,41,payments on this claim. this is because you are not disabled or blind under our rules. we have enclosed information,3B-6,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 6 of 9)
disability,42,"our rules. please remember that there are many types of disability programs, both government and private, which use different rules.",3B-7,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 7 of 9)
disabled,42,for ssi payments based on disability: for payment as a disabled adult: if you are age 18 or older your,3B-7,3B: T16 Notice of Disapproved Claim - L444 Doc. Dt.: 06/12/2020 (9 pages),(page 7 of 9)
disabled,45,her claim for supplemental security income benefits because i am disabled and unable to work. she is represented by william,4B-1,4B: Request for Reconsideration - 561 Doc. Dt.: 06/17/2020 (3 pages),(page 1 of 3)
unable,45,for supplemental security income benefits because i am disabled and unable to work. she is represented by william neal. see,4B-1,4B: Request for Reconsideration - 561 Doc. Dt.: 06/17/2020 (3 pages),(page 1 of 3)
severe,48,spine. the medical evidence shows that your condition is not severe enough to be considered disabling. you are able to,5B-1,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 1 of 10)
fracture,48,"chronic headaches, depression, asthma and allergies, and a chronic compression fracture in thoracic spine. the medical evidence shows that your",5B-1,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 1 of 10)
disability,48,disability reconsideration notice - l1130 doc. dt.: 01/21/2021__back to top__social,5B-1,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 1 of 10)
disabled,48,"received 12/18/2020 on your application you stated that you are disabled because of anxiety, back pain, numbness in legs and",5B-1,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 1 of 10)
disability,49,disability reconsideration notice - l1130 doc. dt.: 01/21/2021__back to top__you,5B-2,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 2 of 10)
disability,50,disability reconsideration notice - l1130 doc. dt.: 01/21/2021__back to top__your,5B-3,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 3 of 10)
disability,51,disability reconsideration notice - l1130 doc. dt.: 01/21/2021__back to top__addifional,5B-4,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 4 of 10)
disability,52,disability reconsideration notice - l1130 doc. dt.: 01/21/2021__back to top__william,5B-5,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 5 of 10)
severe,53,spine. the medical evidence shows that your condition is not severe enough to be considered disabling. you are able to,5B-6,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 6 of 10)
fracture,53,"chronic headaches, depression, asthma and allergies, and a chronic compression fracture in thoracic spine. the medical evidence shows that your",5B-6,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 6 of 10)
disability,53,disability reconsideration notice - l1130 doc. dt.: 01/21/2021__back to top__social,5B-6,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 6 of 10)
disabled,53,"received 12/18/2020 on your application you stated that you are disabled because of anxiety, back pain, numbness in legs and",5B-6,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 6 of 10)
disability,54,disability reconsideration notice - l1130 doc. dt.: 01/21/2021__back to top__you,5B-7,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 7 of 10)
disability,55,disability reconsideration notice - l1130 doc. dt.: 01/21/2021__back to top__your,5B-8,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 8 of 10)
disability,56,disability reconsideration notice - l1130 doc. dt.: 01/21/2021__back to top__addifional,5B-9,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 9 of 10)
disability,57,disability reconsideration notice - l1130 doc. dt.: 01/21/2021__back to top__axxk-kxka-2186,5B-10,5B: T16 Disability Reconsideration Notice - L1130 Doc. Dt.: 01/21/2021 (10 pages),(page 10 of 10)
severe,58,made and wish to have a hearing because of the severe back pain that prevents me from be able to,6B-1,6B: Request for Hearing by ALJ - 501 Doc. Dt.: 01/24/2021 (4 pages),(page 1 of 4)
pain,58,"wish to have a hearing because of the severe back pain that prevents me from be able to do anything,",6B-1,6B: Request for Hearing by ALJ - 501 Doc. Dt.: 01/24/2021 (4 pages),(page 1 of 4)
disability,59,understands that an administrative law judge of the office of disability adjudication and review will be appointed to conduct the,6B-2,6B: Request for Hearing by ALJ - 501 Doc. Dt.: 01/24/2021 (4 pages),(page 2 of 4)
disability,61,"pm   social security administration form approved office of disability adjudication and review omb no, 0960-0269 request for hearing",6B-4,6B: Request for Hearing by ALJ - 501 Doc. Dt.: 01/24/2021 (4 pages),(page 4 of 4)
disabled,61,disagree with the determination made on my claim because: lam disabled and unable to work.   an administrative law,6B-4,6B: Request for Hearing by ALJ - 501 Doc. Dt.: 01/24/2021 (4 pages),(page 4 of 4)
unable,61,the determination made on my claim because: lam disabled and unable to work.   an administrative law judge of,6B-4,6B: Request for Hearing by ALJ - 501 Doc. Dt.: 01/24/2021 (4 pages),(page 4 of 4)
disability,62,"1 of 3 01/25/2021 4:23 pm above board cell) 828.421.3201 disability advocates 790 windy ridge road fax) 828.608.0368 otto, nc",7B-1,7B: Statement of Good Cause for Untimely Filing - GDCAUSE Doc. Dt.: 01/25/2021 (1 pages),(page 1 of 1)
disability,65,ssa-827 (authorization to disclose information to ssa) form ha-l32 (electronic disability claims processing insert) barcode sheet cc: freddie neal 790,8B-3,8B: Request for Hearing Acknowledgement Letter - HRGACK Doc. Dt.: 02/25/2021 (15 pages),(page 3 of 15)
disability,71,to top__  video hearings your guide to social security disability when you request a hearing with the office of,8B-9,8B: Request for Hearing Acknowledgement Letter - HRGACK Doc. Dt.: 02/25/2021 (15 pages),(page 9 of 15)
disability,72,"payment of a fee from the withheld past-due retirement, survivors, disability insurance or supplemental security income benefits of my client",8B-10,8B: Request for Hearing Acknowledgement Letter - HRGACK Doc. Dt.: 02/25/2021 (15 pages),(page 10 of 15)
disability,73,hearing acknowledgement letter - hrgack doc. dt.: 02/25/2021__back to top__electronic disability claims processing social security has changed from a paper,8B-11,8B: Request for Hearing Acknowledgement Letter - HRGACK Doc. Dt.: 02/25/2021 (15 pages),(page 11 of 15)
loss,76,"decision on your claim, and could result in denial or loss of benefits. we rarely use the information you provide",8B-14,8B: Request for Hearing Acknowledgement Letter - HRGACK Doc. Dt.: 02/25/2021 (15 pages),(page 14 of 15)
disability,76,"security income record and special veterans benefits, 60-0103; and electronic disability (edib) claims file, 60-0340. the notices, additional information regarding",8B-14,8B: Request for Hearing Acknowledgement Letter - HRGACK Doc. Dt.: 02/25/2021 (15 pages),(page 14 of 15)
device,78,"appear at a hearing using a computer, tablet, or mobile device with an internet connection. please let us know whether",9B-1,9B: COVID Hearing Agreement Form - COVIDAGREEFRM Doc. Dt.: 03/16/2021 (14 pages),(page 1 of 14)
unable,79,"fax number, visit hitps://www.ssa.gov/appeals/ho_locator.html.   if the claimant is unable to sign the form, you may sign for the",9B-2,9B: COVID Hearing Agreement Form - COVIDAGREEFRM Doc. Dt.: 03/16/2021 (14 pages),(page 2 of 14)
